loss,optimizer,lstm_len,dropout,train_accuracy,validation_accuracy,test_accuracy
binary_crossentropy,rmsprop,32,0.4,.7408,.7435,0.738359866539040
binary_crossentropy,rmsprop,32,0.45,.7501,.7473,0.741063381197503
binary_crossentropy,rmsprop,32,0.5,.7413,.7274,0.723640731609988
binary_crossentropy,rmsprop,32,0.55,.7352,.7364,0.728446979750452
binary_crossentropy,rmsprop,32,0.6,.7412,.7296,0.721838388617742
binary_crossentropy,rmsprop,64,0.4,.7568,.7450,0.753679782447602
binary_crossentropy,rmsprop,64,0.45,.7507,.7450,0.758185640169930
binary_crossentropy,rmsprop,64,0.5,.7589,.7446,0.754881344549861
binary_crossentropy,rmsprop,64,0.55,.7572,.7469,0.750375486952866
binary_crossentropy,rmsprop,64,0.6,.7488,.7424,0.741063381125884
binary_crossentropy,rmsprop,128,0.4,.7684,.7630,0.766296183966272
binary_crossentropy,rmsprop,128,0.45,.7639,.7555,0.765995793422803
binary_crossentropy,rmsprop,128,0.5,.7707,.7567,0.7653950123179
binary_crossentropy,rmsprop,128,0.55,.7745,.7555,0.761189545228625
binary_crossentropy,rmsprop,128,0.6,.7666,.7477,0.749774705901737
binary_crossentropy,rmsprop,256,0.4,.7728,.7597,0.771402822560682
binary_crossentropy,rmsprop,256,0.45,.7794,.7593,0.772003603576002
binary_crossentropy,rmsprop,256,0.5,.7773,.7687,0.780114147336535
binary_crossentropy,rmsprop,256,0.55,.7773,.7646,0.774707118180751
binary_crossentropy,rmsprop,256,0.6,.7743,.7668,0.781015318859515
binary_crossentropy,adam,32,0.4,.7639,.7386,0.75157704896560
binary_crossentropy,adam,32,0.45,.7619,.7544,0.754580954060106
binary_crossentropy,adam,32,0.5,.7595,.7540,0.752478220560200
binary_crossentropy,adam,32,0.55,.7616,.7510,0.753679782519221
binary_crossentropy,adam,32,0.6,.7495,.7424,0.746170019917246
binary_crossentropy,adam,64,0.4,.7664,.7522,0.760588764195400
binary_crossentropy,adam,64,0.45,.7719,.7578,0.771703213068342
binary_crossentropy,adam,64,0.5,.7698,.7574,0.761489935754189
binary_crossentropy,adam,64,0.55,.7704,.7450,0.752177829963017
binary_crossentropy,adam,64,0.6,.7709,.7555,0.760288373651931
binary_crossentropy,adam,128,0.4,.7866,.7661,0.772604384573417
binary_crossentropy,adam,128,0.45,.7789,.7642,0.7753078992676
binary_crossentropy,adam,128,0.5,.7778,.7604,0.771703213104151
binary_crossentropy,adam,128,0.55,.7811,.7676,0.772303994119471
binary_crossentropy,adam,128,0.6,.7848,.7649,0.782817661905474
binary_crossentropy,adam,256,0.4,.7847,.7736,0.780714928351855
binary_crossentropy,adam,256,0.45,.7880,.7649,0.778311804272670
binary_crossentropy,adam,256,0.5,.7938,.7661,0.775608289739540
binary_crossentropy,adam,256,0.55,.7940,.7814,0.788525081479395
binary_crossentropy,adam,256,0.6,.7979,.7799,0.784620004897720
binary_crossentropy,nadam,32,0.4,.7897,.7709,0.782517271469433
binary_crossentropy,nadam,32,0.45,.7741,.7634,0.769900869968668
binary_crossentropy,nadam,32,0.5,.7816,.7679,0.774106337165431
binary_crossentropy,nadam,32,0.55,.7851,.7604,0.770201260476328
binary_crossentropy,nadam,32,0.6,.7818,.7672,0.775608289596303
binary_crossentropy,nadam,64,0.4,.8014,.7788,0.781315709295556
binary_crossentropy,nadam,64,0.45,.7981,.7721,0.775908680193486
binary_crossentropy,nadam,64,0.5,.8002,.7796,0.793030939219627
binary_crossentropy,nadam,64,0.55,.7942,.7717,0.783418442974508
binary_crossentropy,nadam,64,0.6,.7969,.7766,0.788224691132877
binary_crossentropy,nadam,128,0.4,.8063,.7845,0.792129767750361
binary_crossentropy,nadam,128,0.45,.7978,.7818,0.789426253073993
binary_crossentropy,nadam,128,0.5,.8068,.7773,0.786422348158536
binary_crossentropy,nadam,128,0.55,.8032,.7803,0.789726643653272
binary_crossentropy,nadam,128,0.6,.8015,.7758,0.787323519484564
binary_crossentropy,nadam,256,0.4,.7994,.7803,0.783718833428454
binary_crossentropy,nadam,256,0.45,.7966,.7792,0.787623910171271
binary_crossentropy,nadam,256,0.5,.8037,.7721,0.787924300625217
binary_crossentropy,nadam,256,0.55,.8104,.7856,0.799639530388146
binary_crossentropy,nadam,256,0.6,.8034,.7908,0.795434063263002
binary_crossentropy,sgd,32,0.4,.5065,.5077,0.504956441102496
binary_crossentropy,sgd,32,0.45,.4927,.4619,0.4860318412058129
binary_crossentropy,sgd,32,0.5,.5051,.5062,0.495944726015934
binary_crossentropy,sgd,32,0.55,.4956,.4870,0.50465605264492
binary_crossentropy,sgd,32,0.6,.5072,.4938,0.505857614854607
binary_crossentropy,sgd,64,0.4,.5174,.5156,0.510363470258280
binary_crossentropy,sgd,64,0.45,.5056,.5272,0.52358065266693
binary_crossentropy,sgd,64,0.5,.4988,.4942,0.500750973995256
binary_crossentropy,sgd,64,0.55,.4904,.4949,0.478822468986164
binary_crossentropy,sgd,64,0.6,.5037,.5430,0.539200959029445
binary_crossentropy,sgd,128,0.4,.5012,.5111,0.513968156457627
binary_crossentropy,sgd,128,0.45,.5083,.5096,0.516070890047056
binary_crossentropy,sgd,128,0.5,.5095,.5186,0.513367375299070
binary_crossentropy,sgd,128,0.55,.4951,.4837,0.4992490236502790
binary_crossentropy,sgd,128,0.6,.5016,.5182,0.517873232985588
binary_crossentropy,sgd,256,0.4,.5208,.5137,0.519975966557112
binary_crossentropy,sgd,256,0.45,.5051,.5156,0.514869328052226
binary_crossentropy,sgd,256,0.5,.5173,.5520,0.546109940848861
binary_crossentropy,sgd,256,0.55,.5286,.5610,0.565635323989996
binary_crossentropy,sgd,256,0.6,.5285,.5614,0.573745867696815
