loss,optimizer,lstm_len,dropout,train_accuracy,validation_accuracy,test_accuracy
binary_crossentropy,rmsprop,32,0.4,.7321,.7262,0.72454190320458
binary_crossentropy,rmsprop,32,0.45,.7323,.7244,0.717332530949129
binary_crossentropy,rmsprop,32,0.5,.7327,.7169,0.717032140566802
binary_crossentropy,rmsprop,32,0.55,.7310,.7278,0.729348151416669
binary_crossentropy,rmsprop,32,0.6,.7306,.7244,0.72664463679401
binary_crossentropy,rmsprop,64,0.4,.7344,.7274,0.726344246286356
binary_crossentropy,rmsprop,64,0.45,.7355,.7319,0.735956742567284
binary_crossentropy,rmsprop,64,0.5,.7348,.7199,0.720336436061538
binary_crossentropy,rmsprop,64,0.55,.7292,.7274,0.725142684202002
binary_crossentropy,rmsprop,64,0.6,.7295,.7082,0.71042354934456
binary_crossentropy,rmsprop,128,0.4,.7367,.7398,0.727245417719812
binary_crossentropy,rmsprop,128,0.45,.7416,.7345,0.727545808209567
binary_crossentropy,rmsprop,128,0.5,.7398,.7338,0.731450884952384
binary_crossentropy,rmsprop,128,0.55,.7351,.7338,0.733854008942045
binary_crossentropy,rmsprop,128,0.6,.7392,.7139,0.714929406977373
binary_crossentropy,rmsprop,256,0.4,.7539,.7416,0.748573143942716
binary_crossentropy,rmsprop,256,0.45,.7547,.7544,0.74617001975610
binary_crossentropy,rmsprop,256,0.5,.7493,.7593,0.759687592636611
binary_crossentropy,rmsprop,256,0.55,.7529,.7236,0.71973565501040
binary_crossentropy,rmsprop,256,0.6,.7576,.7443,0.749774705937546
binary_crossentropy,adam,32,0.4,.7379,.7364,0.747371581858362
binary_crossentropy,adam,32,0.45,.7473,.7424,0.738359866628563
binary_crossentropy,adam,32,0.5,.7440,.7360,0.743166114715313
binary_crossentropy,adam,32,0.55,.7395,.7255,0.734454789957365
binary_crossentropy,adam,32,0.6,.7484,.7308,0.744367676871286
binary_crossentropy,adam,64,0.4,.7453,.7390,0.742865724207653
binary_crossentropy,adam,64,0.45,.7470,.7431,0.744067286327816
binary_crossentropy,adam,64,0.5,.7563,.7473,0.747671972366022
binary_crossentropy,adam,64,0.55,.7445,.7364,0.729948932324561
